案件ID,提出部門,起案者,提出日,予算区分,案件名,概要,目的_期待効果,要求金額_当年度,対象期間,ベンダー,関連部門,投資総額,想定リターン年額,ROI_pct,NPV,回収期間_年,リターン根拠,軸1_不確実性縮減スコア,軸1_縮減する不確実性の内容,軸2_アップサイドスコア,軸2_アップサイド概要,軸3_検証コスト可逆性スコア,軸4_判断期限,軸4_検証項目_GoNoGo条件,Gate2想定時期,Gate2想定投資規模,本格投資時の想定所管,コスト種別,契約満了_更新時期,前年度予算額,前年度実績額,増減額,増減率_pct,増減理由,継続要否,削減余地,削減余地の内容,VMO連携要否,判定,査定後金額,ゲート判定,検証枠計上,台帳ID,VMO引継,審査コメント
QA-2026-014,品質保証(QA),高橋,2026-01-16,POC,逸脱記録の自動分類AIの実証,逸脱記録を機械学習で自動分類できるか、過去データで実証し、本格導入の可否を見極める,分類工数の削減と分類品質の均一化。成立すれば全QA拠点へ展開余地,3000000,2026-04〜2026-06,L社,情報システム,,,,,,,3,自社の逸脱記録は表記揺れが大きく、既製AIで実用精度が出るか不明。POCで達成精度を実測して確かめる,3,成立時は全拠点展開で年間数千万規模の工数削減見込み,3,2026-06-30,過去1年分の逸脱記録で分類精度85%以上ならGo、下回ればNo-Go,2026-Q3,本格導入で20〜30百万円規模,QA(情報システム支援),,,,,,,,,,,,,,,,,,
MA-2026-007,メディカル(MA),吉田,2026-01-19,POC,問合せ回答ドラフト生成の実証,医療情報問合せに対する回答ドラフトを生成AIで作成できるか、限定領域で実証する,回答作成時間の短縮。成立すれば全問合せ領域へ展開余地,2500000,2026-05〜2026-07,B社,情報システム、薬事,,,,,,,3,生成AIが規制・品質基準を満たす回答ドラフトを作れるかが未知。特定製品群の問合せで精度と適合性を検証する,2,成立時は回答作成工数の3〜4割削減見込み,3,2026-07-31,レビュアが手直し30%以内で使える回答が7割以上ならGo,2026-Q4,本格導入で10〜15百万円規模,メディカル,,,,,,,,,,,,,,,,,,
IS-2026-035,情報システム,小林,2026-01-15,POC,ログ分析基盤の異常検知PoV,セキュリティログの異常検知を機械学習ベースで行えるか、既存ログで概念実証する,検知漏れの低減とアラート精査工数の削減,2000000,2026-04〜2026-05,E社,全社,,,,,,,2,既存ログの品質で誤検知を抑えた異常検知が成立するか不明。過去ログで検知率と誤検知率を実測する,2,成立時は精査工数の削減と重大インシデント早期検知,3,2026-05-31,再現実験で既知インシデントの検知率80%以上かつ誤検知が現行以下ならGo,2026-Q3,本格導入で15百万円規模,情報システム,,,,,,,,,,,,,,,,,,
RA-2026-015,薬事(RA),渡辺,2026-01-22,POC,申請文書の差分自動抽出の実証,改訂版申請文書の差分抽出を自動化できるか、過去改訂データで実証する,差分確認工数の削減とレビュー品質の均一化,1800000,2026-04〜2026-05,L社,品質保証,,,,,,,3,文書構造が複雑で、自動差分抽出が実務レビューに耐える粒度で出せるか不明。過去改訂で抽出精度を検証する,2,成立時は改訂レビュー工数の大幅削減,3,2026-05-31,レビュア評価で有用と判定された差分抽出が8割以上ならGo,2026-Q3,本格導入で8〜12百万円規模,薬事,,,,,,,,,,,,,,,,,,
PV-2026-006,安全性(PV),中村,2026-01-20,POC,副作用症例のトリアージ支援PoV,受領した副作用症例の重篤度トリアージをAIが支援できるか、匿名化データで実証する,トリアージ初動の迅速化と判断のばらつき低減,3500000,2026-05〜2026-08,I社,薬事、情報システム,,,,,,,3,当局判断基準に沿ったトリアージ支援が成立するか未知。過去症例でAI提案と実判断の一致率を検証する,3,成立時は初動時間の短縮と大規模増員回避,2,2026-08-31,過去症例でAI提案と最終判断の一致率90%以上ならGo,2026-Q4,本格導入で25〜35百万円規模,安全性(PV),,,,,,,,,,,,,,,,,,
IS-2026-038,情報システム,山田,2026-01-17,POC,社内ナレッジ検索の生成AI活用PoV,社内規程・手順書を対象に、生成AIによる自然文検索が実用になるか概念実証する,規程検索時間の短縮と問合せ削減,1500000,2026-04〜2026-05,B社,全社,,,,,,,2,社内文書を根拠に正確な回答を返せるか、幻覚(誤情報)の頻度が許容範囲かが不明。限定文書群で検証する,2,成立時は全社の規程問合せ工数を削減,3,2026-05-31,代表50問で正答率85%以上かつ誤情報が明確に検出可能ならGo,2026-Q3,本格導入で10百万円規模,情報システム,,,,,,,,,,,,,,,,,,
BAU-IS-2026-012,情報システム,小林,2026-01-14,BAU,グループウェア年間ライセンス,"全社員1,200名分","事業継続に必要な既定コスト（全社員1,200名分）",18000000,FY2026,A社,,,,,,,,,,,,,,,,,,ライセンス,2026-09,18000000,18000000,0,0.0,前年同額・据置。ユーザー数・契約条件に変更なし,継続必須,要調査,更新期にプラン見直し・他社比較の余地。実利用ライセンス数の精査で減数可能性,要,,,,,,,
BAU-IS-2026-018,情報システム,木村,2026-01-14,BAU,業務システム基盤のクラウド利用料,基幹・周辺10システム分,事業継続に必要な既定コスト（基幹・周辺10システム分）,28800000,FY2026,B社,,,,,,,,,,,,,,,,,,クラウド利用,従量(随時),24000000,25200000,4800000,20.0,データ量増とシステム追加2件により従量料金が増加,継続必須,あり,リザーブドインスタンス化・未使用リソース棚卸しで10〜15%圧縮余地,要,,,,,,,
BAU-IS-2026-005,情報システム,田中,2026-01-12,BAU,基幹システム保守契約,ERP本体および周辺連携,事業継続に必要な既定コスト（ERP本体および周辺連携）,33600000,FY2026,C社,,,,,,,,,,,,,,,,,,保守,2026-12,32000000,32000000,1600000,5.0,保守料の年次改定(+5%)による増,継続必須,要調査,複数年契約化による単価抑制の交渉余地。次回更新で他社保守の比較検討,要,,,,,,,
BAU-IS-2026-023,情報システム,伊藤,2026-01-11,BAU,拠点間ネットワーク回線費,本社・4拠点間WAN,事業継続に必要な既定コスト（本社・4拠点間WAN）,13200000,FY2026,D社,,,,,,,,,,,,,,,,,,回線・通信,2026-06,14400000,14400000,-1200000,-8.3,回線plan見直しにより減額。冗長構成の一部最適化,継続必須,あり,更新期に帯域・plan再精査。SD-WAN化検討で追加削減余地,要,,,,,,,
BAU-IS-2026-030,情報システム,山田,2026-01-15,BAU,セキュリティ監視サービス(SOC),全社エンドポイント・サーバ監視,事業継続に必要な既定コスト（全社エンドポイント・サーバ監視）,16800000,FY2026,E社,,,,,,,,,,,,,,,,,,外部委託,2026-10,16800000,16800000,0,0.0,前年同額・据置。監視対象・SLAに変更なし,継続必須,なし,,不要,,,,,,,
BAU-IS-2026-041,情報システム,小林,2026-01-13,BAU,インフラ保守運用の常駐委託,データセンター運用2名常駐,事業継続に必要な既定コスト（データセンター運用2名常駐）,22800000,FY2026,F社,,,,,,,,,,,,,,,,,,保守人件費,2026-03,21600000,21600000,1200000,5.6,委託単価改定と作業範囲拡大による増,継続必須,要調査,作業内容の棚卸しで一部内製化・遠隔監視化の余地。契約範囲の精査,要,,,,,,,
QA-2026-BAU-002,品質保証(QA),高橋,2026-01-16,BAU,品質文書管理システム保守,QA文書管理システム,事業継続に必要な既定コスト（QA文書管理システム）,9600000,FY2026,G社,,,,,,,,,,,,,,,,,,保守,2026-08,9600000,9600000,0,0.0,前年同額・据置,継続必須,要調査,更新期に他ベンダー保守の比較余地,要,,,,,,,
RA-2026-BAU-004,薬事(RA),渡辺,2026-01-18,BAU,規制情報データベース購読,各国規制DB 5名分,事業継続に必要な既定コスト（各国規制DB 5名分）,7560000,FY2026,H社,,,,,,,,,,,,,,,,,,ライセンス,2027-03,7200000,7200000,360000,5.0,購読プランの価格改定(+5%),継続必須,要調査,利用者数の実態精査。他社DB併用の是非を検討,要,,,,,,,
MA-2026-BAU-003,メディカル(MA),吉田,2026-01-19,BAU,医療情報提供システム保守,MA情報提供基盤,事業継続に必要な既定コスト（MA情報提供基盤）,6000000,FY2026,A社,,,,,,,,,,,,,,,,,,保守,2026-07,6000000,6000000,0,0.0,前年同額・据置,継続必須,なし,,不要,,,,,,,
PV-2026-BAU-002,安全性(PV),中村,2026-01-20,BAU,安全性DB保守・サポート,副作用症例管理DB,事業継続に必要な既定コスト（副作用症例管理DB）,13860000,FY2026,I社,,,,,,,,,,,,,,,,,,保守,2026-11,13200000,13200000,660000,5.0,サポート料改定と当局様式対応の追加保守,継続必須,なし,,不要,,,,,,,
BAU-IS-2026-047,情報システム,木村,2026-01-13,BAU,オフィスソフト包括ライセンス,"全社員1,200名分","事業継続に必要な既定コスト（全社員1,200名分）",30000000,FY2026,B社,,,,,,,,,,,,,,,,,,ライセンス,2026-12,28800000,28800000,1200000,4.2,ユーザー数増(+50名)とプラン改定,継続必須,あり,上位プランの利用実態精査でプランダウングレード余地。統合契約交渉,要,,,,,,,
HR-2026-BAU-001,人事,松本,2026-01-22,BAU,勤怠・給与システム保守,勤怠・給与システム,事業継続に必要な既定コスト（勤怠・給与システム）,5400000,FY2026,J社,,,,,,,,,,,,,,,,,,保守,2026-05,5400000,5400000,0,0.0,前年同額・据置,継続必須,要調査,更新期に他社比較の余地,要,,,,,,,
FIN-2026-BAU-002,経理,井上,2026-01-17,BAU,会計システムクラウド利用料,会計・経費精算,事業継続に必要な既定コスト（会計・経費精算）,8100000,FY2026,K社,,,,,,,,,,,,,,,,,,クラウド利用,従量(年契約),9000000,9000000,-900000,-10.0,利用モジュール見直しにより減額,継続必須,あり,未使用モジュールの解約継続で追加削減余地,不要,,,,,,,
BAU-IS-2026-052,情報システム,伊藤,2026-01-11,BAU,モバイル回線費(社用端末),社用スマートフォン300台,事業継続に必要な既定コスト（社用スマートフォン300台）,7200000,FY2026,D社,,,,,,,,,,,,,,,,,,回線・通信,従量(随時),7200000,7560000,0,0.0,利用実態に合わせたplan最適化で据置,継続必須,要調査,端末数の棚卸しと不稼働回線の解約余地,要,,,,,,,
BAU-IS-2026-058,情報システム,山田,2026-01-15,BAU,バックアップストレージ保守,バックアップ基盤,事業継続に必要な既定コスト（バックアップ基盤）,4800000,FY2026,C社,,,,,,,,,,,,,,,,,,保守,2026-09,4800000,4800000,0,0.0,前年同額・据置,縮小検討可,要調査,データ保管方針見直しで容量・保管期間の最適化余地,要,,,,,,,
